Classifier,Runtime,0,1,2,3,4,5,all
Decision Tree,331.64480471611023,0.8824819789673511,0.8818563348837493,0.8418727749449967,0.9453870932008088,0.8282433877905948,0.9574661714201004,0.8896049658209173
Bagging Classifier,305.72985005378723,0.9097857712584351,0.9125044674824271,0.8288391869878134,0.9482467370268445,0.8205342095745254,0.9523661475362581,0.8994230069561624
